STOP_ID_ANONY,STOP_FRISK_DATE,STOP_FRISK_TIME,MONTH2,DAY2,LOCATION_IN_OUT_CODE,JURISDICTION_CODE,JURISDICTION_DESCRIPTION,STOP_LOCATION_PRECINCT,STOP_LOCATION_SECTOR_CODE,STOP_LOCATION_FULL_ADDRESS,STOP_LOCATION_STREET_NAME,STOP_LOCATION_X,STOP_LOCATION_Y,STOP_LOCATION_ZIP_CODE,STOP_LOCATION_PATROL_BORO_NAME,STOP_LOCATION_BORO_NAME,STOP_ID_ANONY-2,SUSPECTED_CRIME_DESCRIPTION,SUSPECT_ARRESTED_FLAG,FRISKED_FLAG,SEARCHED_FLAG,ASK_FOR_CONSENT_FLG,CONSENT_GIVEN_FLG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,STOP_ID_ANONY-1,ISSUING_OFFICER_RANK,ISSUING_OFFICER_COMMAND_CODE,SUPERVISING_OFFICER_RANK,SUPERVISING_OFFICER_COMMAND_CODE,OFFICER_IN_UNIFORM_FLAG,ID_CARD_IDENTIFIES_OFFICER_FLAG,SHIELD_IDENTIFIES_OFFICER_FLAG,VERBAL_IDENTIFIES_OFFICER_FLAG,SUSPECTS_ACTIONS_CASING_FLAG,SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG,SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG,SUSPECTS_ACTIONS_LOOKOUT_FLAG,SUSPECTS_ACTIONS_OTHER_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR
1,1/2/2019,14:30:00,January,Wednesday,I,P,PSB,1,C,230 VESEY STREET,VESEY STREET,979667,199737,,PBMS,MANHATTAN,1,PETIT LARCENY,0,1,0,1,1,0,0,0,0,0,1,POM,1,SGT,1,1,0,0,0,0,0,0,0,0,0,Y,(null),30,MALE,BLACK,5.11,230,HEA,BRO,BLK
2,1/8/2019,02:30:00,January,Tuesday,O,P,PSB,1,C,9 WHITE STREET,WHITE STREET,982650,201326,,PBMS,MANHATTAN,2,GRAND LARCENY,1,0,1,0,0,0,0,0,0,0,2,POM,1,SGT,1,0,0,1,1,0,0,0,0,0,0,Y,(null),22,MALE,BLACK,5.1,190,MED,BRO,BLK
4,1/14/2019,21:21:00,January,Monday,O,P,PSB,1,,GRAND STREET && 6TH AVE,GRAND STREET,982848,202677,,PBMS,MANHATTAN,4,ROBBERY,0,0,0,0,0,0,0,0,0,0,4,POM,1,SGT,1,1,0,0,0,0,0,1,0,0,0,(null),Y,,MALE,BLACK,,,(null),(null),(null)
5,1/15/2019,18:50:00,January,Tuesday,O,P,PSB,1,D,32 THOMPSON STREET,THOMPSON STREET,983100,202705,,PBMS,MANHATTAN,5,ASSAULT,1,1,0,0,0,0,0,0,0,0,5,POM,1,SGT,1,0,0,1,1,0,0,1,0,0,0,(null),Y,21,MALE,BLACK,5.9,150,THN,BLK,BLK
6,1/23/2019,06:16:00,January,Wednesday,,P,PSB,1,B,8 STONE STREET,STONE STREET,980765,195773,,PBMS,MANHATTAN,6,BURGLARY,0,1,0,0,0,0,0,0,0,0,6,POM,1,SGT,1,1,0,0,0,0,0,0,0,0,0,Y,(null),17,MALE,BLACK,5.9,150,MED,BLK,RED
7,1/24/2019,12:16:00,January,Thursday,O,P,PSB,1,B,42 BROADWAY,BROADWAY,980671,196590,,PBMS,MANHATTAN,7,ASSAULT,0,0,0,0,0,0,0,0,0,0,7,POM,1,SGT,1,1,0,0,0,0,0,1,0,0,0,(null),Y,21,MALE,BLACK,6.2,220,MED,BRO,BLK
8,1/22/2019,06:16:00,January,Tuesday,I,P,PSB,1,B,8 STONE STREET,STONE STREET,980765,195773,,PBMS,MANHATTAN,8,BURGLARY,0,1,0,0,0,0,0,0,0,0,8,POM,1,SGT,1,1,0,0,0,0,0,0,0,0,0,Y,(null),,MALE,BLACK HISPANIC,5.9,150,MED,BRO,BLK
9,2/4/2019,14:09:00,February,Monday,O,P,PSB,1,A,60 WALL STREET,WALL STREET,981863,196460,,PBMS,MANHATTAN,9,PETIT LARCENY,0,0,0,0,0,0,0,0,0,0,9,POM,1,SGT,1,1,0,0,0,0,0,1,0,0,0,(null),(null),26,MALE,BLACK,5.7,140,THN,BRO,BLK
10,2/11/2019,09:05:00,February,Monday,S,T,Transit,1,A,NASSAU STREET && FULTON STREET,NASSAU STREET,982103,198029,,PBMS,MANHATTAN,10,MENACING,1,1,1,1,1,0,0,1,0,1,10,POM,861,SGT,861,1,0,0,0,0,1,1,0,0,0,(null),(null),17,MALE,BLACK,5.5,125,THN,BRO,BLK
12,2/20/2019,14:45:00,February,Wednesday,O,P,PSB,1,D,521 BROADWAY,BROADWAY,984502,202578,,PBMS,MANHATTAN,12,GRAND LARCENY,0,0,0,0,0,0,0,0,0,0,12,POM,1,LT,1,1,0,0,0,0,0,1,0,0,0,(null),(null),24,MALE,WHITE HISPANIC,5.9,160,MED,BRO,BLK
13,2/20/2019,14:45:00,February,Wednesday,O,P,PSB,1,D,521 BROADWAY,BROADWAY,984502,202578,,PBMS,MANHATTAN,13,GRAND LARCENY,0,0,0,0,0,0,0,0,0,0,13,POM,1,LT,1,1,0,0,0,0,0,1,0,0,0,(null),(null),21,MALE,BLACK,5.8,150,THN,BRO,BLK
