,stop_id_anony,suspect_arrested_flag,frisked_flag,searched_flag,ask_for_consent_flg,consent_given_flg,other_contraband_flag,firearm_flag,knife_cutter_flag,other_weapon_flag,weapon_found_flag,suspects_actions_casing_flag,suspects_actions_concealed_possession_weapon_flag,suspects_actions_decription_flag,suspects_actions_drug_transactions_flag,suspects_actions_identify_crime_pattern_flag,suspects_actions_lookout_flag,suspects_actions_other_flag,suspects_actions_proximity_to_scene_flag,suspect_reported_age,suspect_height,suspect_weight,female,issuing_officer_rank,issuing_officer_command_code,supervising_officer_rank,supervising_officer_command_code,officer_in_uniform_flag,id_card_identifies_officer_flag,shield_identifies_officer_flag,verbal_identifies_officer_flag,identified_as_cop,stop_frisk_date,stop_frisk_time,year2,month2,day2,location_in_out_code,jurisdiction_code,jurisdiction_description,stop_location_precinct,stop_location_sector_code,stop_location_full_address,stop_location_street_name,stop_location_x,stop_location_y,stop_location_patrol_boro_name,stop_location_boro_name,race,hair_color,build_type,eye_color,suspected.crime
0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,5.0,230.0,0.0,POM,1,SGT,1,1,0,0,0,0,2019-01-02,14:30:00,2019,January,Wednesday,I,P,PSB,1,C,230 VESEY STREET,VESEY STREET,979667,199737,PBMS,MANHATTAN,Black,Black,Heavy,Black,Petit Larceny
1,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22.0,5.0,190.0,0.0,POM,1,SGT,1,0,0,1,1,0,2019-01-08,02:30:00,2019,January,Tuesday,O,P,PSB,1,C,9 WHITE STREET,WHITE STREET,982650,201326,PBMS,MANHATTAN,Black,Black,Medium,Black,Grand Larceny
2,3.0,1.0,0.0,0.0,0.0,-0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56.0,6.0,250.0,0.0,POM,1,SGT,1,1,0,0,0,0,2019-01-12,16:54:00,2019,January,Saturday,I,P,PSB,1,D,131 SPRING STREET,SPRING STREET,984063,203033,PBMS,MANHATTAN,Black,Black,Heavy,Black,Petit Larceny
3,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,6.0,150.0,0.0,POM,1,SGT,1,0,0,1,1,0,2019-01-15,18:50:00,2019,January,Tuesday,O,P,PSB,1,D,32 THOMPSON STREET,THOMPSON STREET,983100,202705,PBMS,MANHATTAN,Black,Black,Thin,Black,Assult
4,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,6.0,150.0,0.0,POM,1,SGT,1,1,0,0,0,0,2019-01-23,06:16:00,2019,January,Wednesday,O,P,PSB,1,B,8 STONE STREET,STONE STREET,980765,195773,PBMS,MANHATTAN,Black,Black,Medium,Black,Burglary
5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,21.0,6.0,220.0,0.0,POM,1,SGT,1,1,0,0,0,0,2019-01-24,12:16:00,2019,January,Thursday,O,P,PSB,1,B,42 BROADWAY,BROADWAY,980671,196590,PBMS,MANHATTAN,Black,Black,Medium,Black,Assult
6,8.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,28.0,6.0,150.0,0.0,POM,1,SGT,1,1,0,0,0,0,2019-01-22,06:16:00,2019,January,Tuesday,I,P,PSB,1,B,8 STONE STREET,STONE STREET,980765,195773,PBMS,MANHATTAN,Black,Black,Medium,Black,Burglary
7,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,26.0,6.0,140.0,0.0,POM,1,SGT,1,1,0,0,0,0,2019-02-04,14:09:00,2019,February,Monday,O,P,PSB,1,A,60 WALL STREET,WALL STREET,981863,196460,PBMS,MANHATTAN,Black,Black,Thin,Black,Petit Larceny
8,10.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,17.0,6.0,125.0,0.0,POM,861,SGT,861,1,0,0,0,0,2019-02-11,09:05:00,2019,February,Monday,S,T,Transit,1,A,NASSAU STREET && FULTON STREET,NASSAU STREET,982103,198029,PBMS,MANHATTAN,Black,Black,Thin,Black,Menacing
9,11.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,51.0,6.0,160.0,0.0,POM,1,LT,1,1,0,0,0,0,2019-02-16,12:17:00,2019,February,Saturday,O,P,PSB,1,A,100 BROADWAY,BROADWAY,981097,197271,PBMS,MANHATTAN,White Hispanic,Brown,Medium,Brown,Petit Larceny
