,STOP_ID_ANONY,STOP_FRISK_DATE,STOP_FRISK_TIME,YEAR2,MONTH2,DAY2,LOCATION_IN_OUT_CODE,JURISDICTION_CODE,JURISDICTION_DESCRIPTION,STOP_LOCATION_PRECINCT,STOP_LOCATION_SECTOR_CODE,STOP_LOCATION_APARTMENT,STOP_LOCATION_FULL_ADDRESS,STOP_LOCATION_STREET_NAME,STOP_LOCATION_X,STOP_LOCATION_Y,STOP_LOCATION_ZIP_CODE,STOP_LOCATION_PATROL_BORO_NAME,STOP_LOCATION_BORO_NAME
0,1,2019-01-02,14:30:00,2019,January,Wednesday,I,P,PSB,1,C,(null),230 VESEY STREET,VESEY STREET,979667,199737,(null),PBMS,MANHATTAN
1,2,2019-01-08,02:30:00,2019,January,Tuesday,O,P,PSB,1,C,(null),9 WHITE STREET,WHITE STREET,982650,201326,(null),PBMS,MANHATTAN
2,3,2019-01-12,16:54:00,2019,January,Saturday,I,P,PSB,1,D,(null),131 SPRING STREET,SPRING STREET,984063,203033,(null),PBMS,MANHATTAN
3,4,2019-01-14,21:21:00,2019,January,Monday,O,P,PSB,1,(,(null),GRAND STREET && 6TH AVE,GRAND STREET,982848,202677,(null),PBMS,MANHATTAN
4,5,2019-01-15,18:50:00,2019,January,Tuesday,O,P,PSB,1,D,(null),32 THOMPSON STREET,THOMPSON STREET,983100,202705,(null),PBMS,MANHATTAN
5,6,2019-01-23,06:16:00,2019,January,Wednesday,(null),P,PSB,1,B,(null),8 STONE STREET,STONE STREET,980765,195773,(null),PBMS,MANHATTAN
6,7,2019-01-24,12:16:00,2019,January,Thursday,O,P,PSB,1,B,(null),42 BROADWAY,BROADWAY,980671,196590,(null),PBMS,MANHATTAN
7,8,2019-01-22,06:16:00,2019,January,Tuesday,I,P,PSB,1,B,(null),8 STONE STREET,STONE STREET,980765,195773,(null),PBMS,MANHATTAN
8,9,2019-02-04,14:09:00,2019,February,Monday,O,P,PSB,1,A,(null),60 WALL STREET,WALL STREET,981863,196460,(null),PBMS,MANHATTAN
9,10,2019-02-11,09:05:00,2019,February,Monday,S,T,Transit,1,A,(null),NASSAU STREET && FULTON STREET,NASSAU STREET,982103,198029,(null),PBMS,MANHATTAN
10,11,2019-02-16,12:17:00,2019,February,Saturday,O,(null),(null),1,A,(null),100 BROADWAY,BROADWAY,981097,197271,(null),PBMS,MANHATTAN
11,12,2019-02-20,14:45:00,2019,February,Wednesday,O,P,PSB,1,D,(null),521 BROADWAY,BROADWAY,984502,202578,(null),PBMS,MANHATTAN
12,13,2019-02-20,14:45:00,2019,February,Wednesday,O,P,PSB,1,D,(null),521 BROADWAY,BROADWAY,984502,202578,(null),PBMS,MANHATTAN
13,14,2019-02-23,18:41:00,2019,February,Saturday,O,(null),(null),1,D,(null),146 GREENE STREET,GREENE STREET,984615,203695,(null),PBMS,MANHATTAN
14,15,2019-02-23,18:41:00,2019,February,Saturday,O,(null),(null),1,D,(null),146 GREENE STREET,GREENE STREET,984615,203695,(null),PBMS,MANHATTAN
15,16,2019-03-01,15:23:00,2019,March,Friday,O,(null),(null),1,D,(null),66 MERCER STREET,MERCER STREET,984134,202485,(null),PBMS,MANHATTAN
16,17,2019-03-01,15:23:00,2019,March,Friday,(null),(null),(null),1,D,(null),66 MERCER STREET,MERCER STREET,984134,202485,(null),PBMS,MANHATTAN
17,18,2019-03-07,14:30:00,2019,March,Thursday,I,P,PSB,1,D,(null),147 MERCER STREET,MERCER STREET,984713,203398,(null),PBMS,MANHATTAN
18,19,2019-03-10,22:45:00,2019,March,Sunday,O,P,PSB,1,C,(null),MURRAY STREET && WEST BROADWAY,MURRAY STREET,981442,199546,(null),PBMS,MANHATTAN
19,20,2019-03-10,23:15:00,2019,March,Sunday,I,P,PSB,1,B,(null),4 SOUTH STREET,SOUTH STREET,980875,194871,(null),PBMS,MANHATTAN
20,21,2019-03-09,12:48:00,2019,March,Saturday,I,P,PSB,1,A,(null),182 BROADWAY,BROADWAY,981551,197981,(null),PBMS,MANHATTAN
21,22,2019-03-18,09:20:00,2019,March,Monday,S,T,Transit,1,A,(null),JOHN STREET && BROADWAY,JOHN STREET,981604,198068,(null),PBMS,MANHATTAN
22,23,2019-03-18,13:16:00,2019,March,Monday,O,P,PSB,1,C,(null),70 MURRAY STREET,MURRAY STREET,981319,199612,(null),PBMS,MANHATTAN
23,24,2019-03-26,13:10:00,2019,March,Tuesday,I,P,PSB,1,C,(null),250 BROADWAY,BROADWAY,982226,199035,(null),PBMS,MANHATTAN
24,25,2019-03-29,21:25:00,2019,March,Friday,S,T,Transit,1,A,(null),WALL STREET && WILLIAM STREET,WALL STREET,981615,196630,(null),PBMS,MANHATTAN
25,26,2019-04-01,18:44:00,2019,April,Monday,(null),(null),(null),1,D,(null),149 MERCER STREET,MERCER STREET,984724,203415,(null),PBMS,MANHATTAN
26,27,2019-04-01,18:44:00,2019,April,Monday,(null),(null),(null),1,D,(null),149 MERCER STREET,MERCER STREET,984724,203415,(null),PBMS,MANHATTAN
27,28,2019-04-01,18:44:00,2019,April,Monday,I,(null),(null),1,D,(null),149 MERCER STREET,MERCER STREET,984724,203415,(null),PBMS,MANHATTAN
