,STOP_ID_ANONY,OFFICER_NOT_EXPLAINED_STOP_DESCRIPTION,OFFICER_NOT_EXPLAINED_STOP_DESCRIPTION,DEMEANOR_OF_PERSON_STOPPED,SUSPECT_OTHER_DESCRIPTION
0,1,(null),(null),UNDERSTANDING,UNKNOWN
1,2,(null),(null),NORMAL,(null)
2,3,(null),(null),CALM,"BLACK LONG COAT, BLACK PANTS, BLACK FEDORA HAT, CANE, BIG SUITCASE"
3,4,(null),(null),CONFUSED,(null)
4,5,(null),(null),,(null)
5,6,(null),(null),COORPERATIVE,BLACK WOODED JACKET
6,7,(null),(null),COOPERATIVE,
7,8,(null),(null),COOPERATIVE,BLACK SWEATSHIRT DU-RAG
8,9,(null),(null),CALM,
9,10,(null),(null),"NEUTRAL, NON HOSTILE","RED BUBBLE JACKET, GRAY SWEATSHIRT, GRAY SWEATS"
10,11,(null),(null),CALM,NECK TATTOO
11,12,(null),(null),UNDERSTANDABE,UNKNOWN
12,13,(null),(null),UNDERSTANDABLE,WEARING GREEN JACKET
13,14,(null),(null),CALM,(null)
14,15,(null),(null),CALM,(null)
15,16,(null),(null),CALM,
16,17,(null),(null),CALM,
17,18,PERP A,PERP A,AGITATED,(null)
18,19,(null),(null),UPSET,UNK
19,20,(null),(null),AGITTATED,"BLACK JACKET, RED SWEATER, RED BOOKBAG, SKATEBOARD WITH RED WHEELS, BLACK SNEAKE"
20,21,(null),(null),CALM,SCARF COVERING FACE
21,22,(null),(null),RELUCTANT,(null)
22,23,(null),(null),CALM,(null)
23,24,(null),(null),EMOTIONAL,
24,25,(null),(null),"CONFUSED, NON-COMPLIANT","RED HAT, BROWN JACKET, RED SNEAKERS"
25,26,(null),(null),ANNOYED,"RED HAT, BLACK JEANS, GRAY JACKET"
26,27,(null),(null),NERVOUS,"BLACK SWEATSHIRT, BLACK JEANS, BLACK SNEAKERS"
27,28,(null),(null),CALM,"GRAY SWEATSHIRT, BLACK JEANS, WHITE SNEAKERS, BACK PACK MULTICOLOR"
28,29,(null),(null),CALM,"GLASSES, LONG HAIR, BLUE JACKET, BLACK PANTS, BLACK BACKPACK"
29,30,(null),(null),CALM,(null)
30,31,(null),(null),CALM AND COLLECTIVE,(null)
31,32,(null),(null),CALM AND COOPERATIVE,(null)
32,33,(null),(null),"CALM, PASSIVE.",(null)
33,34,(null),(null),CALM,(null)
34,35,(null),(null),CONFUSED,(null)
35,36,(null),(null),COOPERATIVE,(null)
36,37,(null),(null),COOPERATIVE,(null)
37,38,(null),(null),CALM,"BLACK COAT, BEARD"
38,39,(null),(null),POLITE,(null)
39,40,(null),(null),CALM,GLASSES
40,41,(null),(null),CALM,(null)
41,42,(null),(null),ANNOYED,(null)
42,43,(null),(null),ANNOYED,(null)
43,44,(null),(null),CALM,GRAY SWEATER
44,45,(null),(null),CALM,
45,46,(null),(null),CALM,BLUE JACKET
46,47,WAITIN,WAITIN,,"BLUE HOODIE,DARK JEANS, BLACK SNEAKERS"
47,48,WAITIN,WAITIN,,"BLUE T-SHIRT,BLACK SNEAKERS,"
48,49,WAITIN,WAITIN,QUIET,"BLACK T-SHIRT, BLACK SHOWER CAP, BLUE JEANS"
49,50,TIME O,TIME O,QUIET,"WHITE T-SHIRT,BLUE JEANS, WHITE SNEAKERS"
50,51,(null),(null),COOPERATIVE,"RED BASEBALL CAP, RED LONG SLEEVE SHIRT."
51,52,(null),(null),COOPERATIVE,(null)
52,53,(null),(null),COOPERATIVE,(null)
53,54,(null),(null),CALM,(null)
54,55,(null),(null),CALM,(null)
55,56,(null),(null),INTOX/COOPERATIVE,LIGHT BLUE SHIRT
56,57,(null),(null),UPSET,(null)
57,58,(null),(null),CALM,GRAY SWEATER.
58,59,(null),(null),"ANGRY, AGITATED","RED HOODIE, BLACK SWEAT PANTS AND WHITE SNEAKERS."
59,60,(null),(null),"ANGRY, AGITATED","GREEN HOODIE, BLACK SWEATPANTS, BLACK SNEAKERS."
60,61,(null),(null),CALM,"GREY SWEAT SHIRT, BLACK DU RAG, RED BACK PACK."
61,62,(null),(null),AGITATED,"DARK GRAY HOODIE, BLUE JEANS (WITH CUTS ON LEGS)"
62,63,(null),(null),AGITATED,"GRAY HOODIE, BLUE JEANS AND A BLACK NIKE BACKPACK"
63,64,(null),(null),CALM,BLUE JACKET WITH WHITE STRIPES
64,65,(null),(null),UPSET,"BLACK HOODIE, JEANS, BROWN BOOK BAG"
65,66,(null),(null),"TALKING TO SELF, YELLING","GREY HOODIE, COLORFUL PANTS, FLORAL BLUE BAG"
66,67,(null),(null),,GLASSES
67,68,(null),(null),AGITATED,"BLACK DURAG, BLACK SHIRT, BLACK SHORTS, BLUE SNEAKERS, BLACK BACKPACK AND CRUTCH"
68,69,(null),(null),COOPERATIVE,(null)
