,STOP_ID_ANONY,SUSPECTED_CRIME_DESCRIPTION,SUSPECT_ARRESTED_FLAG,FRISKED_FLAG,SEARCHED_FLAG,ASK_FOR_CONSENT_FLG,CONSENT_GIVEN_FLG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,SUSPECTS_ACTIONS_CASING_FLAG,SUSPECTS_ACTIONS_CONCEALED_POSSESSION_WEAPON_FLAG,SUSPECTS_ACTIONS_DECRIPTION_FLAG,SUSPECTS_ACTIONS_DRUG_TRANSACTIONS_FLAG,SUSPECTS_ACTIONS_IDENTIFY_CRIME_PATTERN_FLAG,SUSPECTS_ACTIONS_LOOKOUT_FLAG,SUSPECTS_ACTIONS_OTHER_FLAG,SUSPECTS_ACTIONS_PROXIMITY_TO_SCENE_FLAG,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR
0,1,PETIT LARCENY,N,Y,N,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),30,MALE,BLACK,5.11,230,HEA,BRO,BLK
1,2,GRAND LARCENY,Y,N,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),22,MALE,BLACK,5.1,190,MED,BRO,BLK
2,3,PETIT LARCENY,Y,N,N,N,(,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,56,MALE,WHITE,5.9,250,HEA,BLU,BLK
3,4,ROBBERY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,(null),MALE,BLACK, , ,(null),(null),(null)
4,5,ASSAULT,Y,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,21,MALE,BLACK,5.9,150,THN,BLK,BLK
5,6,BURGLARY,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),17,MALE,BLACK,5.9,150,MED,BLK,RED
6,7,ASSAULT,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,21,MALE,BLACK,6.2,220,MED,BRO,BLK
7,8,BURGLARY,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),(null),MALE,BLACK HISPANIC,5.9,150,MED,BRO,BLK
8,9,PETIT LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),26,MALE,BLACK,5.7,140,THN,BRO,BLK
9,10,MENACING,Y,Y,Y,Y,Y,N,(null),Y,(null),Y,(null),Y,Y,(null),(null),(null),(null),(null),17,MALE,BLACK,5.5,125,THN,BRO,BLK
10,11,PETIT LARCENY,Y,N,Y,N,(,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),51,MALE,WHITE HISPANIC,5.7,160,MED,BRO,GRY
11,12,GRAND LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),24,MALE,WHITE HISPANIC,5.9,160,MED,BRO,BLK
12,13,GRAND LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),21,MALE,BLACK,5.8,150,THN,BRO,BLK
13,14,GRAND LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),53,MALE,BLACK,6.6,200,THN,BRO,BLD
14,15,GRAND LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),49,FEMALE,WHITE,5.1,140,THN,BRO,BRO
15,16,GRAND LARCENY,N,N,N,N,(,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),31,MALE,BLACK,5.7,150,MED,BRO,BLK
16,17,GRAND LARCENY,N,N,N,N,(,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),27,MALE,BLACK,6,165,THN,BRO,BLK
17,18,PETIT LARCENY,Y,N,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),24,MALE,BLACK,5.11,165,THN,BRO,BLK
18,19,ROBBERY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,29,MALE,BLACK,5.7,140,THN,BRO,BLK
19,20,PETIT LARCENY,Y,Y,Y,N,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),20,MALE,BLACK,6.1,160,THN,BRO,BLK
20,21,ROBBERY,N,Y,N,N,(,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,40,MALE,BLACK,5.1,175,MED,BRO,BLK
21,22,ASSAULT,N,N,N,(,(,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),25,MALE,BLACK,5.8,140,U,BRO,XXX
22,23,ROBBERY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),21,MALE,BLACK,6.2,180,MED,BLK,BLK
23,24,PETIT LARCENY,Y,N,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),36,FEMALE,BLACK HISPANIC,5.4,115,THN,ZZZ,BRO
24,25,CPW,Y,N,Y,N,N,N,(null),(null),Y,Y,(null),(null),Y,(null),(null),(null),(null),(null),40,MALE,BLACK,5.7,210,HEA,BRO,GRY
25,26,GRAND LARCENY,Y,N,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),12,MALE,WHITE,5.2,110,THN,BRO,BRO
26,27,GRAND LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),15,MALE,WHITE,5.3,110,THN,BRO,BLK
27,28,GRAND LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),15,MALE,WHITE,5.8,140,THN,BRO,BRO
28,29,GRAND LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),15,MALE,WHITE HISPANIC,5.8,140,THN,BRO,BLK
29,30,ROBBERY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),31,MALE,BLACK,5.8,280,HEA,BRO,BLK
30,31,ROBBERY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,29,MALE,BLACK,6,160,THN,BRO,BLK
31,32,GRAND LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,34,MALE,BLACK,5.9,140,THN,BRO,BLK
32,33,CRIMINAL TRESPASS,N,N,Y,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),60,FEMALE,ASIAN / PACIFIC ISLANDER,5.1,145,MED,BRO,BLK
33,34,ASSAULT,N,N,N,N,(,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,29,MALE,BLACK,6,180,THN,BRO,BLK
34,35,GRAND LARCENY AUTO,N,N,N,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,Y,27,MALE,BLACK,5.3,120,MED,BRO,BLK
35,36,GRAND LARCENY AUTO,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,Y,25,MALE,BLACK,6,150,MED,BRO,BLK
36,37,GRAND LARCENY AUTO,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,Y,25,MALE,BLACK,6,140,MED,BRO,BLK
37,38,PETIT LARCENY,Y,N,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),Y,50,MALE,WHITE,5.1,200,MED,HAZ,GRY
38,39,ASSAULT,N,Y,N,N,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),32,MALE,BLACK,6,180,THN,BRO,BLK
39,40,CPW,N,Y,Y,N,Y,N,Y,(null),(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),75,MALE,WHITE,5.7,150,THN,BRO,GRY
40,41,PETIT LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),18,MALE,BLACK,5.8,160,THN,BRO,BLK
41,42,PETIT LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),18,MALE,BLACK,6.2,185,THN,BRO,BLK
42,43,PETIT LARCENY,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),18,MALE,BLACK,5.7,200,MED,BRO,BLK
43,44,PETIT LARCENY,Y,N,Y,N,(,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),26,MALE,BLACK,5.7,165,THN,BRO,BLK
44,45,PETIT LARCENY,Y,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),24,MALE,BLACK,6,230,HEA,BLK,BLK
45,46,CPW,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),63,MALE,WHITE,6.1,200,MED,BRO,BRO
46,47,ROBBERY,Y,N,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,Y,14,MALE,AMERICAN INDIAN/ALASKAN N,5.8,145,MED,BRO,BLK
47,48,ROBBERY,Y,N,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,Y,15,MALE,WHITE HISPANIC,5.8,150,MED,BRO,BRO
48,49,ROBBERY,Y,N,Y,N,N,Y,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,Y,15,MALE,BLACK,5.6,130,MED,BRO,BLK
49,50,ROBBERY,Y,N,Y,N,N,Y,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,Y,14,MALE,WHITE HISPANIC,5.7,120,MED,BRO,BLK
50,51,PETIT LARCENY,N,Y,Y,Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),66,MALE,WHITE,5.11,130,THN,BLU,GRY
51,52,ASSAULT,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),24,FEMALE,WHITE HISPANIC,5.6,130,THN,BRO,GRY
52,53,ASSAULT,N,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),26,MALE,WHITE HISPANIC,5.9,160,MED,BRO,BLK
53,54,ASSAULT,Y,N,Y,N,N,Y,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),25,MALE,WHITE HISPANIC,5.9,160,MED,BRO,BLK
54,55,ASSAULT,Y,N,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),26,FEMALE,WHITE HISPANIC,5.5,120,THN,BRO,BLN
55,56,CPW,N,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),35,MALE,BLACK,6.2,250,HEA,BRO,BLD
